År;Månad;Dag;Timme;Temperatur;Effekt;Vind;Soltimmar
2016;11;12;21;-0,055610271;26,95052515;1,8;0
2016;11;12;22;-0,837488522;27,79352015;1,5;0
2016;11;12;23;0,553487568;27,42544325;1,1;0
2016;11;13;0;1,678876754;24,86440346;0,9;0
2016;11;13;1;1,847436359;22,87413694;2,7;0
2016;11;13;2;1,040187619;24,44218603;2,6;0
2016;11;13;3;0,978271863;23,02924087;1,9;0
2016;11;13;4;1,176774979;23,87848237;2,3;0
2016;11;13;5;1,112567542;25,19202444;1,8;0
2016;11;13;6;1,16591535;26,21204722;3,7;0
2016;11;13;7;1,662537812;24,05158923;2,8;0
2016;11;13;8;2,34161258;22,88702464;2,5;0
2016;11;13;9;2,938494949;22,04861985;2;0
2016;11;13;10;3,806698016;22,21905166;2,9;206
2016;11;13;11;4,640698835;20,75613686;3,9;0
2016;11;13;12;4,567418778;19,55126131;4,5;519
2016;11;13;13;4,479438782;21,22611429;4,5;3161
2016;11;13;14;4,479438782;21,70366307;3,8;1133
2016;11;13;15;4,507162998;21,28238984;3,7;0
2016;11;13;16;4,744246715;22,57207164;3,8;0
2016;11;13;17;4,853284836;21,23743024;2,8;0
2016;11;13;18;4,943630239;21,4775804;1,3;0
2016;11;13;19;4,910057617;21,82851787;1,7;0
2016;11;13;20;4,969935293;21,49118846;2,3;0
2016;11;13;21;4,853284836;20,99553594;2,3;0
2016;11;13;22;5,182117644;19,97533847;2,3;0
2016;11;13;23;5,326618748;19,9105586;1,6;0
2016;11;14;0;5,22713089;19,68082541;2;0
2016;11;14;1;5,22713089;20,75825754;2,6;0
2016;11;14;2;5,22713089;20,57893214;3;0
2016;11;14;3;5,22713089;20,06939916;3;0
2016;11;14;4;5,22713089;20,73619705;1,2;0
2016;11;14;5;5,22713089;20,96596842;0,9;0
2016;11;14;6;4,889015899;22,92235394;2,3;0
2016;11;14;7;4,876212399;23,08916443;1,7;0
2016;11;14;8;5,22713089;22,86831861;2,4;0
2016;11;14;9;5,22713089;23,58753914;2,4;0
